Row No,Error Message
"2","Duplicate Record"
"3","Duplicate Record"
"4","Duplicate Record"
"5","Duplicate Record"
"6","Duplicate Record"
"7","Duplicate Record"
"8","Duplicate Record"
"9","Duplicate Record"
"10","Duplicate Record"
